City,Lat,Lng,Max Temp(F),Humidity,Cloudiness,Wind Speed,Country,Date
Yellowknife,62.456,-114.3525,-34.01,67,1,2.26,CA,1612648485
Butaritari,3.0707,172.7902,81.25,80,100,21.36,KI,1612648544
Jamestown,42.097,-79.2353,21.2,49,1,17.27,US,1612648757
Hermanus,-34.4187,19.2345,66.99,90,84,3.65,ZA,1612648757
Faanui,-16.4833,-151.75,82.04,67,2,10.71,PF,1612648757
Ushuaia,-54.8,-68.3,53.6,76,40,18.41,AR,1612648757
Bluff,-46.6,168.3333,59.63,69,2,1.77,NZ,1612648757
Okhotsk,59.3833,143.3,-2.61,86,34,14.56,RU,1612648344
Busselton,-33.65,115.3333,57.99,97,100,4.0,AU,1612648758
Bela,25.9333,81.9833,51.13,64,0,6.24,IN,1612648758
Kopavogur,64.1123,-21.913,35.6,48,0,20.71,IS,1612648758
Carnarvon,-24.8667,113.6333,80.6,100,75,10.36,AU,1612648758
Dunedin,-45.8742,170.5036,62.01,75,1,5.99,NZ,1612648645
Mahébourg,-20.4081,57.7,77.0,83,20,5.75,MU,1612648759
Mataura,-46.1927,168.8643,69.57,57,0,2.1,NZ,1612648759
Vaini,-21.2,-175.2,82.4,83,75,8.05,TO,1612648759
Severo-Kuril'sk,50.6789,156.125,21.51,93,100,14.61,RU,1612648759
Port Blair,11.6667,92.75,77.76,77,13,8.68,IN,1612648033
Kavieng,-2.5744,150.7967,82.72,70,61,2.57,PG,1612648759
Morondava,-20.2833,44.2833,80.89,80,98,3.89,MG,1612648760
Port Alfred,-33.5906,26.891,69.01,92,58,8.01,ZA,1612648760
Bambous Virieux,-20.3428,57.7575,77.0,83,20,5.75,MU,1612648760
Marigot,18.0667,-63.0833,80.6,74,40,9.22,MF,1612648760
Laguna,38.421,-121.4238,64.99,51,1,1.41,US,1612648761
Yumen,40.2833,97.2,27.46,69,98,1.99,CN,1612648761
Clyde River,70.4692,-68.5914,-13.0,77,75,4.61,CA,1612648761
Hofn,64.2539,-15.2082,33.96,89,97,18.3,IS,1612648761
Boca do Acre,-8.7522,-67.3978,83.32,83,10,1.99,BR,1612648761
Puerto Ayora,-0.7393,-90.3518,86.0,66,0,12.66,EC,1612648761
Camacha,33.0833,-16.3333,59.0,63,40,17.27,PT,1612648353
Chokurdakh,70.6333,147.9167,-23.6,87,32,5.06,RU,1612648762
Bethel,41.3712,-73.414,42.8,28,1,13.8,US,1612648762
Yakeshi,49.2833,120.7333,-21.8,86,1,3.67,CN,1612648762
Jabonga,9.3431,125.5156,76.87,81,93,2.26,PH,1612648762
Omboué,-1.5746,9.2618,79.2,84,100,5.35,GA,1612648763
Hūn,29.1268,15.9477,64.49,27,22,8.19,LY,1612648763
Rikitea,-23.1203,-134.9692,78.19,70,100,9.95,PF,1612648763
Cabo San Lucas,22.8909,-109.9124,79.0,56,1,9.22,MX,1612648690
Magadan,59.5667,150.8,7.97,88,100,10.67,RU,1612648491
